Z daughter, A daughter, element daughter, Z parent, A parent, element parent, metastable, independent thermal FY jeff3.1.1, unc, independent fast FY jeff3.1.1, unc, independent 14MeV FY jeff3.1.1, unc,Extraction date
31,75,Ga,92,235,U,0,1.4288E-06,4.9096E-07,4.6008E-06,1.4007E-06,0.00018611,3.7944E-05,2021-04-28
31,76,Ga,92,235,U,0,1.4676E-05,4.4878E-06,1.8802E-05,4.397E-06,0.00017905,5.0159E-05,2021-04-28
31,77,Ga,92,235,U,0,4.6672E-05,8.3962E-06,5.7791E-05,1.0892E-05,0.00024105,6.4278E-05,2021-04-28
31,78,Ga,92,235,U,0,0.00010162,1.9274E-05,9.7787E-05,2.4251E-05,0.00015348,5.5636E-05,2021-04-28
31,79,Ga,92,235,U,0,0.00020606,3.7053E-05,0.00012393,3.8199E-05,0.00014441,5.2422E-05,2021-04-28
31,80,Ga,92,235,U,0,0.0001844,3.7771E-05,7.3792E-05,2.5884E-05,4.8902E-05,1.8225E-05,2021-04-28
31,81,Ga,92,235,U,0,7.594E-05,2.0785E-05,3.3534E-05,1.1013E-05,2.0133E-05,7.7782E-06,2021-04-28
31,82,Ga,92,235,U,0,1.4549E-05,4.8145E-06,6.98E-06,2.159E-06,3.3908E-06,1.2788E-06,2021-04-28
31,83,Ga,92,235,U,0,2.391E-06,8.3609E-07,7.0858E-07,2.4404E-07,7.4522E-07,2.6698E-07,2021-04-28
31,84,Ga,92,235,U,0,1.6714E-07,6.2194E-08,4.1544E-08,1.4381E-08,5.0782E-08,1.9833E-08,2021-04-28
31,85,Ga,92,235,U,0,8.0472E-09,3.0052E-09,1.1735E-09,4.1853E-10,4.677E-09,1.8822E-09,2021-04-28
31,86,Ga,92,235,U,0,1.8249E-10,6.654E-11,1.8075E-11,6.4103E-12,1.7253E-10,6.8655E-11,2021-04-28
32,72,Ge,92,235,U,0,0,0,1.6568E-12,6.499E-13,8.1461E-07,3.0209E-07,2021-04-28
32,73,Ge,92,235,U,0,2.6248E-11,1.0572E-11,9.3195E-11,3.6532E-11,4.005E-06,1.4387E-06,2021-04-28
32,73,Ge,92,235,U,1,6.0691E-12,2.4446E-12,1.8765E-11,7.3556E-12,5.031E-07,1.8072E-07,2021-04-28
32,74,Ge,92,235,U,0,1.8457E-09,7.4601E-10,5.1146E-09,2.0564E-09,2.7218E-05,9.4224E-06,2021-04-28
32,75,Ge,92,235,U,0,5.5078E-09,2.1187E-09,1.4193E-08,5.5474E-09,5.0726E-06,1.7056E-06,2021-04-28
32,75,Ge,92,235,U,1,3.6029E-08,1.3859E-08,1.066E-07,4.1665E-08,6.089E-05,2.0474E-05,2021-04-28
32,76,Ge,92,235,U,0,1.778E-06,6.6711E-07,1.959E-06,7.3646E-07,0.00022977,5.5775E-05,2021-04-28
32,77,Ge,92,235,U,0,1.0202E-05,3.4271E-06,1.3622E-05,4.7698E-06,0.00031468,6.6708E-05,2021-04-28
32,77,Ge,92,235,U,1,1.5595E-06,5.239E-07,1.8137E-06,6.3508E-07,2.6215E-05,5.5572E-06,2021-04-28
