Incident energy ; 
Incident energy ; 
Incident energy ; NP
24.0126 ; 2.850044
24.02499 ; 2.850607
24.0312 ; 2.85094
24.04359 ; 2.851711
24.0499 ; 2.852169
24.05611 ; 2.852664
24.0623 ; 2.853208
24.10001 ; 2.857758
24.2 ; 2.869418
24.3 ; 2.868725
24.39999 ; 2.867937
24.5 ; 2.867459
24.60001 ; 2.867072
24.8 ; 2.866238
24.89999 ; 2.865723
25.0 ; 2.865115
25.10001 ; 2.864402
25.2 ; 2.863572
25.3 ; 2.862621
25.39999 ; 2.861541
25.5 ; 2.860341
25.60001 ; 2.859033
25.7 ; 2.857653
25.89999 ; 2.854931
25.9724 ; 2.85409
26.04761 ; 2.853442
26.0977 ; 2.853213
26.2982 ; 2.853074
26.4151 ; 2.853347
26.45689 ; 2.853615
26.5 ; 2.85401
26.60001 ; 2.85521
26.7 ; 2.856592
26.89999 ; 2.859012
27.0 ; 2.859345
27.10001 ; 2.857521
27.1066 ; 2.857212
27.1192 ; 2.85649
27.1234 ; 2.856205
27.13181 ; 2.855552
27.13609 ; 2.855174
27.1445 ; 2.854321
27.1487 ; 2.853833
27.15289 ; 2.853302
27.1571 ; 2.852721
27.1613 ; 2.852086
27.1656 ; 2.851375
27.1698 ; 2.850618
27.174 ; 2.849792
27.17821 ; 2.84889
27.1824 ; 2.847914
27.1866 ; 2.846853
27.1909 ; 2.845673
27.1951 ; 2.844427
27.1993 ; 2.843083
27.20351 ; 2.841631
27.2077 ; 2.840079
27.2119 ; 2.838413
27.21609 ; 2.836639
27.2204 ; 2.834695
27.22459 ; 2.832691
27.22881 ; 2.830555
27.233 ; 2.828322
27.2372 ; 2.825973
27.24139 ; 2.823523
27.2457 ; 2.8209
27.24989 ; 2.818255
27.2541 ; 2.815511
27.2583 ; 2.812696
27.2625 ; 2.809815
27.26669 ; 2.806885
27.2709 ; 2.803897
27.2794 ; 2.797781
27.2962 ; 2.785719
27.3 ; 2.783059
27.3047 ; 2.779827
27.3089 ; 2.777006
27.3131 ; 2.774257
27.31731 ; 2.771581
27.3215 ; 2.769005
27.3257 ; 2.766517
27.3299 ; 2.764127
27.3342 ; 2.761787
27.33839 ; 2.759614
27.34261 ; 2.757536
27.3468 ; 2.755585
27.351 ; 2.753741
27.35519 ; 2.752016
27.3595 ; 2.750359
27.39999 ; 2.740613
27.5 ; 2.759464
27.60001 ; 2.828148
27.7 ; 2.868638
27.8 ; 2.875753
27.89999 ; 2.878071
28.0 ; 2.879496
28.10001 ; 2.880573
28.2 ; 2.881456
28.3 ; 2.882213
28.39999 ; 2.882874
28.5 ; 2.883459
28.60001 ; 2.88398
28.7 ; 2.884448
28.8 ; 2.88487
29.0 ; 2.885596
29.10001 ; 2.88591
29.3 ; 2.886437
29.5 ; 2.886916
29.7 ; 2.887282
30.0 ; 2.88777
30.39999 ; 2.888284
30.5 ; 2.888358
31.3 ; 2.888848
31.39999 ; 2.888859
31.60001 ; 2.888807
31.7 ; 2.888726
31.7975 ; 2.888602
32.3118 ; 2.887824
32.49879 ; 2.887942
32.8 ; 2.888725
33.0 ; 2.889174
33.10001 ; 2.889338
33.3 ; 2.889567
33.5 ; 2.8897
33.8 ; 2.889776
34.0 ; 2.88975
34.2 ; 2.889642
34.3 ; 2.889545
34.5 ; 2.889206
34.7 ; 2.888409
34.89999 ; 2.886399
35.0 ; 2.884212
35.10001 ; 2.879078
35.2 ; 2.860856
35.2764 ; 2.816391
35.2812 ; 2.812609
35.2861 ; 2.808695
35.29581 ; 2.800849
35.3103 ; 2.789192
35.3152 ; 2.785333
35.32001 ; 2.781611
35.32491 ; 2.777901
35.3298 ; 2.774294
35.33459 ; 2.770862
35.33949 ; 2.767467
35.3443 ; 2.764255
35.3492 ; 2.761111
35.354 ; 2.758161
35.3589 ; 2.755287
35.36369 ; 2.752613
35.36861 ; 2.750006
35.3734 ; 2.747606
35.3783 ; 2.745288
35.38319 ; 2.743113
35.388 ; 2.741107
35.3929 ; 2.739194
35.39771 ; 2.737444
35.39999 ; 2.736658
35.40739 ; 2.734289
35.41229 ; 2.732873
35.4171 ; 2.731596
35.422 ; 2.730407
35.4268 ; 2.729349
35.4317 ; 2.728374
35.4366 ; 2.727503
35.44141 ; 2.726746
35.4463 ; 2.726072
35.4511 ; 2.725505
35.45599 ; 2.725017
35.4608 ; 2.724628
35.4657 ; 2.724321
35.4706 ; 2.724103
35.4754 ; 2.723975
35.4803 ; 2.723932
35.48511 ; 2.723974
35.49001 ; 2.724104
35.4948 ; 2.724316
35.49969 ; 2.724621
35.5045 ; 2.725005
35.5094 ; 2.72549
35.5143 ; 2.726066
35.5191 ; 2.726721
35.524 ; 2.727485
35.52879 ; 2.728328
35.53371 ; 2.729295
35.5385 ; 2.730335
35.5434 ; 2.731506
35.5482 ; 2.732759
35.5531 ; 2.73415
35.55791 ; 2.735629
35.56281 ; 2.737252
35.5677 ; 2.738994
35.60001 ; 2.753721
35.7 ; 2.824412
35.8 ; 2.867169
35.89999 ; 2.878496
36.0 ; 2.882616
36.10001 ; 2.884755
36.2 ; 2.88603
36.3 ; 2.886841
36.5 ; 2.887901
36.7 ; 2.888462
37.0 ; 2.888974
37.39999 ; 2.889343
38.0 ; 2.889475
38.7 ; 2.886003
39.60001 ; 2.88637
39.89999 ; 2.885404
40.2 ; 2.883534
40.39999 ; 2.88163
40.60001 ; 2.878386
40.8 ; 2.872552
40.89999 ; 2.867905
41.0 ; 2.860118
41.10001 ; 2.844496
41.2 ; 2.815634
41.2188 ; 2.810257
41.224 ; 2.808862
41.2291 ; 2.807538
41.2343 ; 2.806237
41.2394 ; 2.80501
41.24451 ; 2.803829
41.24969 ; 2.802685
41.25481 ; 2.801604
41.2599 ; 2.800582
41.26511 ; 2.79959
41.2702 ; 2.798671
41.27541 ; 2.797784
41.2805 ; 2.796967
41.2856 ; 2.796198
41.2908 ; 2.795463
41.2959 ; 2.794787
41.3062 ; 2.793561
41.31129 ; 2.79302
41.32159 ; 2.792048
41.33189 ; 2.791232
41.34219 ; 2.79056
41.3524 ; 2.790032
41.3627 ; 2.789626
41.373 ; 2.789347
41.3833 ; 2.789191
41.3936 ; 2.789158
41.40379 ; 2.789248
41.41409 ; 2.789471
41.42439 ; 2.789831
41.43469 ; 2.790344
41.4449 ; 2.791013
41.4552 ; 2.791871
41.4586 ; 2.792198
41.4655 ; 2.79293
41.4758 ; 2.794212
41.4894 ; 2.796282
41.49631 ; 2.797513
41.49969 ; 2.798162
41.50661 ; 2.799586
41.5099 ; 2.800311
41.51691 ; 2.801954
41.5202 ; 2.802772
41.52721 ; 2.804616
41.5305 ; 2.805528
41.5408 ; 2.808561
41.5511 ; 2.811836
41.56129 ; 2.815269
41.57159 ; 2.818868
41.58189 ; 2.822521
41.60001 ; 2.828824
41.6127 ; 2.83296
41.623 ; 2.836056
41.6333 ; 2.838876
41.6436 ; 2.841399
41.65379 ; 2.843598
41.66409 ; 2.845528
41.67439 ; 2.847185
41.68469 ; 2.848592
41.6949 ; 2.849767
41.7 ; 2.850282
41.7052 ; 2.85076
41.7155 ; 2.851587
41.7258 ; 2.852271
41.73441 ; 2.852751
41.74631 ; 2.853299
41.75661 ; 2.853682
41.76691 ; 2.853998
41.77721 ; 2.854256
41.7874 ; 2.854466
41.808 ; 2.854779
41.8286 ; 2.854986
41.84911 ; 2.855119
42.0 ; 2.85603
42.10001 ; 2.858848
42.2 ; 2.862602
42.3 ; 2.865995
42.39999 ; 2.868748
42.4534 ; 2.869945
42.5 ; 2.870848
42.60001 ; 2.872417
42.7 ; 2.873549
42.8 ; 2.874295
42.89999 ; 2.8747
43.0 ; 2.874785
43.17239 ; 2.874211
43.3 ; 2.873179
43.39999 ; 2.87191
43.5 ; 2.870116
43.60001 ; 2.867631
43.7 ; 2.864189
43.8 ; 2.859362
43.8914 ; 2.853077
43.89999 ; 2.852356
44.0 ; 2.841599
44.10001 ; 2.823707
44.2 ; 2.788478
44.26151 ; 2.75496
44.2731 ; 2.748715
44.2789 ; 2.74571
44.28461 ; 2.742848
44.29041 ; 2.740047
44.2962 ; 2.73737
44.3 ; 2.735681
44.3078 ; 2.732387
44.3136 ; 2.730092
44.31931 ; 2.727964
44.3251 ; 2.725938
44.3309 ; 2.724039
44.3367 ; 2.722268
44.3425 ; 2.720621
44.3483 ; 2.719091
44.354 ; 2.717698
44.3598 ; 2.716387
44.3656 ; 2.715176
44.3714 ; 2.714062
44.3772 ; 2.713036
44.3829 ; 2.712109
44.3887 ; 2.711243
44.3945 ; 2.710448
44.4003 ; 2.70972
44.4061 ; 2.709054
44.4119 ; 2.708445
44.4176 ; 2.707898
44.4234 ; 2.70739
44.4292 ; 2.706928
44.435 ; 2.706506
