Z daughter, A daughter, element daughter, Z parent, A parent, element parent, metastable, independent thermal FY jeff3.1.1, unc, independent fast FY jeff3.1.1, unc, independent 14MeV FY jeff3.1.1, unc,Extraction date
51,120,Sb,94,239,Pu,1,1.8415E-11,7.0292E-12,1.1052E-11,4.137E-12, , ,2021-04-28
51,120,Sb,94,239,Pu,0,1.2978E-11,4.9538E-12,6.6084E-12,2.4737E-12, , ,2021-04-28
51,119,Sb,94,239,Pu,0,1.5525E-12,5.6847E-13, , , , ,2021-04-28
50,137,Sn,94,239,Pu,0,4.9379E-10,1.7868E-10,1.5724E-11,5.7502E-12, , ,2021-04-28
50,136,Sn,94,239,Pu,0,2.7477E-08,9.6899E-09,1.7662E-09,6.2548E-10, , ,2021-04-28
50,135,Sn,94,239,Pu,0,1.0225E-06,3.636E-07,1.134E-07,4.1612E-08, , ,2021-04-28
50,134,Sn,94,239,Pu,0,2.1902E-05,7.8643E-06,4.855E-06,1.7544E-06, , ,2021-04-28
50,133,Sn,94,239,Pu,0,0.00033186,0.00011979,0.00011145,4.0052E-05, , ,2021-04-28
50,132,Sn,94,239,Pu,0,0.0019201,0.00064694,0.00091015,0.0003121, , ,2021-04-28
50,131,Sn,94,239,Pu,1,0.0042149,0.0011609,0.0031875,0.00090283, , ,2021-04-28
50,131,Sn,94,239,Pu,0,0.0017459,0.00048088,0.0011392,0.00032267, , ,2021-04-28
50,130,Sn,94,239,Pu,1,0.0080354,0.0015036,0.0074952,0.0016122, , ,2021-04-28
50,130,Sn,94,239,Pu,0,0.0034306,0.00064193,0.0027498,0.00059147, , ,2021-04-28
50,129,Sn,94,239,Pu,1,0.0058151,0.00092262,0.0053669,0.00097355, , ,2021-04-28
50,129,Sn,94,239,Pu,0,0.0024088,0.00038218,0.0019181,0.00034795, , ,2021-04-28
50,128,Sn,94,239,Pu,1,0.0037079,0.00051294,0.0044813,0.00089548, , ,2021-04-28
50,128,Sn,94,239,Pu,0,0.001583,0.00021899,0.0016441,0.00032852, , ,2021-04-28
50,127,Sn,94,239,Pu,1,0.00085568,0.00012032,0.0010674,0.00020935, , ,2021-04-28
50,127,Sn,94,239,Pu,0,0.0020657,0.00029047,0.0029864,0.00058574, , ,2021-04-28
50,126,Sn,94,239,Pu,0,0.0020245,0.00038609,0.0016441,0.00033939, , ,2021-04-28
50,125,Sn,94,239,Pu,1,0.00020684,3.9175E-05,0.00021909,4.4066E-05, , ,2021-04-28
50,125,Sn,94,239,Pu,0,0.00049935,9.4575E-05,0.00061299,0.00012329, , ,2021-04-28
50,124,Sn,94,239,Pu,0,0.00050918,0.00012512,0.00036424,0.00010324, , ,2021-04-28
50,123,Sn,94,239,Pu,1,4.624E-05,1.5966E-05,3.2015E-05,1.1159E-05, , ,2021-04-28
50,123,Sn,94,239,Pu,0,0.00011163,3.8543E-05,8.9575E-05,3.1222E-05, , ,2021-04-28
50,122,Sn,94,239,Pu,0,3.9803E-05,1.3864E-05,3.2404E-05,1.1902E-05, , ,2021-04-28
