 U-238(n,g) ENDFB-8.0
Energy(eV) XS(b)
0.000396875 21.3597
0.000406250 21.1118
0.000425000 20.6409
0.000443750 20.2002
0.000462500 19.7865
0.000481250 19.3973
0.000500000 19.0301
0.000515625 18.7396
0.000531250 18.4620
0.000546875 18.1964
0.000562500 17.9419
0.000578125 17.6978
0.000593750 17.4634
0.000609375 17.2381
0.000625000 17.0213
0.000640625 16.8125
0.000656250 16.6111
0.000671875 16.4169
0.000687500 16.2293
0.000718750 15.8726
0.000750000 15.5385
0.000781250 15.2246
0.000812500 14.9290
0.000843750 14.6500
0.000875000 14.3860
0.000906250 14.1359
0.000937500 13.8983
0.000968750 13.6724
0.00100000 13.4571
0.00103125 13.2517
0.00106250 13.0554
0.00109375 12.8676
0.00112500 12.6877
0.00115625 12.5151
0.00118750 12.3494
0.00121875 12.1901
0.00125000 12.0368
0.00128125 11.8891
0.00131250 11.7468
0.00134375 11.6094
0.00137500 11.4768
0.00143750 11.2246
0.00150000 10.9884
0.00156250 10.7664
0.00162500 10.5574
0.00168750 10.3602
0.00175000 10.1736
0.00181250 9.99668
0.00187500 9.82873
0.00193750 9.66897
0.00200000 9.51676
0.00209375 9.30135
0.00218750 9.09994
0.00228125 8.91107
0.00237500 8.73351
0.00246875 8.56615
0.00256250 8.40807
0.00265625 8.25844
0.00275000 8.11652
0.00284375 7.98169
0.00293750 7.85336
0.00303125 7.73104
0.00312500 7.61426
0.00321875 7.50263
0.00331250 7.39578
0.00340625 7.29336
0.00350000 7.19510
0.00359375 7.10070
0.00368750 7.00993
0.00378125 6.92256
0.00387500 6.83838
0.00396875 6.75720
0.00406250 6.67885
0.00425000 6.53000
0.00443750 6.39069
0.00462500 6.25993
0.00481250 6.13690
0.00500000 6.02085
0.00515625 5.92902
0.00531250 5.84128
0.00546875 5.75733
0.00562500 5.67690
0.00578125 5.59976
0.00593750 5.52568
0.00609375 5.45448
0.00625000 5.38597
0.00640625 5.31998
0.00656250 5.25636
0.00671875 5.19498
0.00687500 5.13570
0.00718750 5.02301
0.00750000 4.91743
0.00781250 4.81825
0.00812500 4.72484
0.00843750 4.63668
0.00875000 4.55327
0.00906250 4.47422
0.00937500 4.39916
0.00968750 4.32776
0.0100000 4.25974
0.0103125 4.19484
0.0106250 4.13283
0.0109375 4.07349
0.0112500 4.01666
0.0115625 3.96215
0.0118750 3.90980
0.0121875 3.85950
0.0125000 3.81109
0.0128125 3.76447
0.0131250 3.71953
0.0134375 3.67617
0.0137500 3.63429
0.0143750 3.55468
0.0150000 3.48010
0.0156250 3.41003
0.0162500 3.34404
0.0168750 3.28175
0.0175000 3.22283
0.0181250 3.16699
0.0187500 3.11397
0.0193750 3.06354
0.0200000 3.01549
0.0206625 2.96697
0.0213250 2.92073
0.0219875 2.87660
0.0226500 2.83442
0.0233125 2.79406
0.0239750 2.75539
0.0246375 2.71829
0.0253000 2.68267
0.0264578 2.62365
0.0276156 2.56840
0.0287734 2.51653
0.0299313 2.46771
0.0310891 2.42167
0.0322469 2.37813
0.0334047 2.33689
0.0345625 2.29775
0.0355274 2.26659
0.0364922 2.23668
0.0374570 2.20793
0.0384219 2.18026
0.0393867 2.15363
0.0403516 2.12795
0.0413164 2.10318
0.0422813 2.07927
0.0442109 2.03382
0.0461406 1.99127
0.0480703 1.95132
0.0500000 1.91371
0.0515625 1.88483
0.0531250 1.85723
0.0546875 1.83084
0.0562500 1.80555
0.0578125 1.78130
0.0593750 1.75803
0.0609375 1.73566
0.0625000 1.71414
0.0640625 1.69342
0.0656250 1.67346
0.0671875 1.65420
0.0687500 1.63562
0.0718750 1.60029
0.0750000 1.56718
0.0781250 1.53608
0.0812500 1.50680
0.0843750 1.47917
0.0875000 1.45305
0.0906250 1.42830
0.0937500 1.40481
0.0968750 1.38248
0.100000 1.36121
0.103125 1.34093
0.106250 1.32156
0.109375 1.30303
0.112500 1.28529
0.115625 1.26828
0.118750 1.25195
0.121875 1.23627
0.125000 1.22118
0.128125 1.20666
0.131250 1.19267
0.134375 1.17919
0.137500 1.16619
0.143750 1.14147
0.150000 1.11831
0.156250 1.09656
0.162500 1.07611
0.168750 1.05682
0.175000 1.03859
0.181250 1.02133
0.187500 1.00497
0.193750 0.989422
0.200000 0.974644
0.209375 0.953753
0.218750 0.934229
0.228125 0.915949
0.237500 0.898794
0.246875 0.882656
0.256250 0.867440
0.265625 0.853065
0.275000 0.839457
0.284375 0.826554
0.293750 0.814298
0.303125 0.802639
0.312500 0.791532
0.321875 0.780936
0.331250 0.770815
0.340625 0.761136
0.350000 0.751868
0.359375 0.742986
0.368750 0.734464
0.378125 0.726280
0.387500 0.718414
0.396875 0.710854
0.406250 0.703590
0.425000 0.689824
0.443750 0.676975
0.462500 0.664979
0.500000 0.643262
0.531250 0.627126
0.562500 0.612463
0.625000 0.586921
0.687500 0.565459
0.750000 0.547219
0.812500 0.531582
0.875000 0.518125
0.937500 0.506455
1.00000 0.496268
1.06250 0.487391
1.12500 0.479654
1.25000 0.467077
1.37500 0.457711
1.50000 0.450991
1.62500 0.446525
1.75000 0.444066
1.87500 0.443393
2.00000 0.444332
2.13104 0.447028
2.26209 0.451556
2.39313 0.457691
2.52418 0.465530
2.65522 0.475139
2.78626 0.486627
2.91731 0.500162
3.04835 0.515984
3.17004 0.533007
3.29172 0.552504
3.41340 0.574243
3.53509 0.599405
3.65677 0.628106
3.77845 0.660963
3.90014 0.698759
3.96098 0.719840
4.02182 0.742656
4.09202 0.771604
4.16222 0.804221
4.19733 0.822608
4.23243 0.843683
4.24998 0.855931
4.26753 0.870307
4.28508 0.888844
4.29385 0.901136
4.30263 0.917059
4.30731 0.927738
4.31199 0.940481
4.31667 0.955827
4.32135 0.974404
4.32603 0.996928
4.33071 1.02417
4.33539 1.05693
4.34007 1.09593
4.34446 1.13874
4.34885 1.18792
4.35323 1.24354
4.35762 1.30535
4.36201 1.37273
4.36640 1.44455
4.37517 1.59504
4.38219 1.71231
4.38570 1.76632
4.38921 1.81543
4.39272 1.85838
4.39624 1.89393
4.39975 1.92111
4.40326 1.93914
4.40748 1.94805
4.41029 1.94614
4.41311 1.93801
4.41592 1.92386
4.41873 1.90403
4.42185 1.87586
4.42498 1.84193
4.42810 1.80305
4.43122 1.76013
4.43604 1.68805
4.44087 1.61206
4.45052 1.46106
4.45620 1.37946
4.46187 1.30671
4.46471 1.27410
4.46755 1.24416
4.47039 1.21686
4.47323 1.19219
4.47663 1.16591
4.48004 1.14310
4.48344 1.12348
4.48685 1.10679
4.49026 1.09274
4.49366 1.08102
4.50047 1.06347
4.50501 1.05531
4.50955 1.04935
4.51608 1.04378
4.52261 1.04083
4.53567 1.04003
4.54872 1.04323
4.56178 1.04867
4.58789 1.06326
4.61400 1.08076
4.66623 1.12115
4.71845 1.16716
4.77067 1.21780
4.82290 1.27300
4.87512 1.33297
4.92734 1.39883
4.96367 1.44842
5.00000 1.50138
5.05844 1.59413
5.11687 1.69734
5.17531 1.81278
5.20453 1.87569
5.23375 1.94244
5.26296 2.01334
5.29218 2.08874
5.32140 2.16894
5.35062 2.25427
5.37984 2.34526
5.40905 2.44272
5.43827 2.54729
5.46749 2.65957
5.50320 2.80828
5.53891 2.97114
5.57462 3.15001
5.61033 3.34706
5.64604 3.56486
5.68176 3.80646
5.71747 4.07548
5.73532 4.22159
5.75318 4.37624
5.78564 4.68163
5.81811 5.02231
5.83434 5.20764
5.85057 5.40402
5.86680 5.61234
5.88303 5.83362
5.89927 6.06895
5.91550 6.31951
5.93173 6.58662
5.94796 6.87172
5.96420 7.17647
5.98043 7.50274
5.99666 7.85279
6.01289 8.22912
6.03075 8.67683
6.04860 9.16386
6.06646 9.69498
6.08431 10.2755
6.10217 10.9119
6.12003 11.6115
6.13788 12.3831
6.15574 13.2369
6.17359 14.1854
6.19145 15.2429
6.20037 15.8181
6.20930 16.4274
6.21823 17.0736
6.22716 17.7598
6.23609 18.4896
6.24501 19.2665
6.25394 20.0949
6.26287 20.9792
6.27180 21.9249
6.28072 22.9378
6.28965 24.0244
6.29858 25.1920
6.31157 27.0532
6.31806 28.0643
6.32455 29.1349
6.33348 30.7131
6.34241 32.4272
6.35134 34.2937
6.36026 36.3314
6.36919 38.5629
6.37812 41.0137
6.38705 43.7143
6.39597 46.7003
6.40490 50.0154
6.41383 53.7108
6.41829 55.7202
6.42276 57.8491
6.42722 60.1077
6.43168 62.5066
6.43615 65.0593
6.44061 67.7792
6.44508 70.6822
6.44954 73.7852
6.45400 77.1098
6.45847 80.6782
6.46293 84.5166
6.46739 88.6544
6.47105 92.2888
6.47470 96.1687
6.47653 98.2099
6.47835 100.321
6.48018 102.508
6.48200 104.774
6.48383 107.124
6.48566 109.561
6.48748 112.091
6.48931 114.720
6.49114 117.453
6.49296 120.296
6.49479 123.258
6.49661 126.344
6.49803 128.838
6.49945 131.415
6.50087 134.081
6.50229 136.841
6.50372 139.702
6.50514 142.665
6.50656 145.739
6.50798 148.929
6.50894 151.165
6.50990 153.459
6.51087 155.815
6.51183 158.235
6.51280 160.721
6.51376 163.277
6.51472 165.904
6.51569 168.604
6.51690 172.127
6.51812 175.782
6.51924 179.254
6.52035 182.849
6.52147 186.572
6.52258 190.429
6.52370 194.428
6.52482 198.576
6.52593 202.880
6.52705 207.349
6.52801 211.348
6.52898 215.482
6.52994 219.757
6.53090 224.180
6.53187 228.757
6.53283 233.495
6.53380 238.401
6.53476 243.478
6.53588 249.592
6.53699 255.966
6.53811 262.614
6.53922 269.549
6.54034 276.788
6.54146 284.345
6.54257 292.239
6.54369 300.478
6.54480 309.096
6.54592 318.105
6.54703 327.525
6.54815 337.377
6.54927 347.682
6.55038 358.465
6.55150 369.749
6.55261 381.558
6.55373 393.918
6.55485 406.857
6.55596 420.402
6.55708 434.583
6.55819 449.428
6.55931 464.969
6.56043 481.239
6.56154 498.253
6.56266 516.078
6.56377 534.732
6.56489 554.252
6.56601 574.675
6.56712 596.038
6.56824 618.380
6.56935 641.740
6.57047 666.158
6.57159 691.675
6.57270 718.332
6.57382 746.171
6.57493 775.235
6.57605 805.565
6.57717 837.205
6.57828 870.198
6.57940 904.587
6.58051 940.414
6.58163 977.723
6.58275 1016.56
6.58386 1056.95
6.58498 1098.95
6.58609 1142.60
6.58721 1187.94
6.58833 1234.99
6.58944 1283.81
6.59056 1334.42
6.59167 1386.86
6.59279 1441.15
6.59502 1555.43
6.59725 1677.39
6.59938 1801.24
6.60151 1932.31
6.60364 2070.76
6.60577 2216.43
6.60791 2369.39
6.61004 2529.33
6.61217 2696.20
6.61430 2869.55
6.61653 3057.82
6.61876 3252.36
6.62099 3452.54
6.62322 3657.56
6.62769 4079.29
6.63215 4509.62
6.63662 4939.63
6.64108 5359.13
6.64554 5757.50
6.65001 6123.58
6.65447 6446.56
6.65670 6588.72
6.65893 6716.39
6.66126 6832.93
6.66358 6931.65
6.66591 7011.66
6.66823 7072.24
6.67126 7121.10
6.67428 7135.35
6.67504 7133.47
6.67750 7112.35
6.67995 7068.49
6.68241 7002.37
6.68487 6914.71
6.68740 6803.02
6.68992 6670.75
6.69245 6519.26
6.69497 6350.13
6.69760 6157.46
6.70022 5949.73
6.70285 5728.95
6.70548 5497.50
6.71073 5011.14
6.71598 4508.39
6.72218 3915.09
6.72529 3625.70
6.72839 3344.57
6.73102 3114.48
6.73364 2892.76
6.73627 2680.26
6.73889 2477.72
6.74152 2285.51
6.74414 2104.09
6.74677 1933.52
6.74939 1773.96
6.75202 1625.21
6.75465 1487.21
6.75727 1359.55
6.75990 1241.97
6.76252 1133.97
6.76384 1083.43
6.76515 1035.15
6.76646 988.991
6.76777 944.927
6.76909 902.891
6.77040 862.844
6.77231 807.901
6.77422 756.776
6.77613 709.206
6.77804 665.036
6.77995 624.016
6.78186 585.992
6.78377 550.731
6.78567 518.087
6.78758 487.846
6.78949 459.872
6.79140 433.972
6.79331 410.020
6.79522 387.846
6.79713 367.337
6.79904 348.343
6.80095 330.764
6.80358 308.672
6.80620 288.760
6.80883 270.786
6.81145 254.539
6.81408 239.815
6.81670 226.451
6.81933 214.285
6.82196 203.190
6.82458 193.039
6.82721 183.734
6.82983 175.175
6.83246 167.287
6.83508 159.994
6.83771 153.237
6.84033 146.957
6.84296 141.110
6.84559 135.649
6.84821 130.540
6.85084 125.749
6.85346 121.249
6.85609 117.012
6.85871 113.017
6.86396 105.673
6.86922 99.0798
6.87447 93.1295
6.87972 87.7339
6.88497 82.8206
6.88927 79.1167
6.89356 75.6684
6.89786 72.4500
6.90215 69.4417
6.90645 66.6234
6.91075 63.9799
6.91504 61.4958
6.91934 59.1581
6.92364 56.9545
6.92793 54.8756
6.93223 52.9114
6.93652 51.0533
6.94512 47.6248
6.95371 44.5373
6.95896 42.7983
6.96421 41.1612
6.96946 39.6178
6.97471 38.1609
6.97997 36.7840
6.98522 35.4814
6.99572 33.0780
7.00622 30.9133
7.01672 28.9566
7.02723 27.1818
7.03773 25.5668
7.04823 24.0926
7.05873 22.7434
7.06923 21.5053
7.07974 20.3663
7.09024 19.3160
7.10074 18.3455
7.11124 17.4469
7.12175 16.6132
7.13320 15.7706
7.14466 14.9908
7.15516 14.3259
7.16566 13.7046
7.17617 13.1230
7.18667 12.5777
7.19717 12.0657
7.20767 11.5845
7.21818 11.1315
7.22868 10.7047
7.23918 10.3020
7.24968 9.92176
7.26018 9.56226
7.27069 9.22205
7.29169 8.59417
7.31269 8.02863
7.33370 7.51742
7.35470 7.05386
7.37571 6.63216
7.39671 6.24749
7.41772 5.89563
7.43872 5.57303
7.45973 5.27660
7.48073 5.00370
7.49982 4.77404
7.51892 4.56037
7.53801 4.36146
7.55711 4.17668
7.57620 4.00621
7.59530 3.85099
7.61439 3.71151
7.63349 3.58557
7.65640 3.44334
7.66967 3.36023
7.67388 3.33323
7.68092 3.28750
7.70180 3.14719
7.72269 3.00611
7.74528 2.86281
7.76787 2.73452
7.79047 2.62005
7.81306 2.51587
7.83565 2.41924
7.85824 2.32873
7.88084 2.24357
7.90343 2.16325
7.94861 2.01564
7.99380 1.88335
8.03898 1.76429
8.08417 1.65678
8.12032 1.57810
8.15646 1.50524
8.19261 1.43766
8.22876 1.37487
8.25813 1.32706
8.28750 1.28191
8.34624 1.19885
8.40498 1.12434
8.46372 1.05727
8.52246 0.996778
8.58120 0.942135
8.63994 0.892346
8.69868 0.846892
8.74838 0.811526
8.79809 0.778726
8.84779 0.748258
8.89749 0.719915
8.94720 0.693513
8.99690 0.668890
9.04660 0.645900
9.09631 0.624412
9.14601 0.604309
9.19571 0.585491
9.29512 0.551346
9.39453 0.521370
9.49393 0.495117
9.54815 0.482267
9.60238 0.470435
9.65660 0.459643
9.71082 0.449959
9.76504 0.441502
9.81926 0.434593
9.87348 0.429935
9.90060 0.428811
9.92771 0.428834
9.94578 0.429707
9.96385 0.431507
9.98193 0.434558
10.0000 0.439364
10.0143 0.444945
10.0285 0.452875
10.0357 0.458094
10.0428 0.464445
10.0500 0.472285
10.0571 0.482056
10.0642 0.494427
10.0714 0.510229
10.0749 0.519787
10.0785 0.530674
10.0821 0.543095
10.0856 0.557242
10.0892 0.573456
10.0928 0.591996
10.0963 0.613192
10.0999 0.637338
10.1035 0.664967
10.1070 0.696358
10.1106 0.732153
10.1142 0.772648
10.1171 0.809537
10.1200 0.850240
10.1229 0.895055
10.1258 0.944278
10.1287 0.998207
10.1316 1.05713
10.1345 1.12134
10.1373 1.19083
10.1402 1.26633
10.1431 1.34783
10.1460 1.43550
10.1489 1.52948
10.1518 1.62984
10.1547 1.73664
10.1576 1.84982
10.1605 1.96886
10.1634 2.09441
10.1663 2.22582
10.1692 2.36273
10.1721 2.50472
10.1779 2.80176
10.1837 3.11116
10.1926 3.59741
10.1971 3.83706
10.2016 4.06901
10.2065 4.31038
10.2114 4.53117
10.2163 4.72644
10.2212 4.89118
10.2258 5.01460
10.2304 5.10385
10.2350 5.15659
10.2395 5.17295
10.2441 5.15211
10.2487 5.09439
10.2518 5.03500
10.2549 4.95998
10.2590 4.83829
10.2631 4.69309
10.2688 4.45966
10.2744 4.19516
10.2801 3.90767
10.2857 3.60632
10.2970 2.99199
10.3027 2.69393
10.3083 2.40978
10.3124 2.21435
10.3166 2.02986
10.3207 1.85720
10.3248 1.69697
10.3289 1.54942
10.3309 1.48026
10.3330 1.41458
10.3351 1.35172
10.3371 1.29223
10.3392 1.23574
10.3412 1.18219
10.3433 1.13127
10.3453 1.08339
10.3474 1.03799
10.3494 0.995416
10.3515 0.955163
10.3535 0.917519
10.3556 0.882014
10.3576 0.848890
10.3597 0.817719
10.3618 0.788701
10.3638 0.761449
10.3659 0.736126
10.3679 0.712387
10.3700 0.690363
10.3720 0.669842
10.3741 0.650732
10.3782 0.616321
10.3823 0.586564
10.3864 0.560854
10.3905 0.538690
10.3946 0.519476
10.3987 0.502837
10.4028 0.488395
10.4069 0.475850
10.4136 0.458681
10.4203 0.444745
10.4270 0.433243
10.4336 0.423638
10.4403 0.415473
10.4470 0.408453
10.4603 0.396914
10.4737 0.387744
10.4870 0.380207
10.5004 0.373852
10.5137 0.368390
10.5302 0.362601
10.5466 0.357611
10.5795 0.349359
10.6123 0.342729
10.6452 0.337218
10.7109 0.328366
10.7767 0.321398
10.8424 0.315782
10.9081 0.311321
10.9739 0.308117
11.0067 0.307138
11.0396 0.306796
11.0725 0.307518
11.0889 0.308567
11.1053 0.310425
11.1202 0.313288
11.1277 0.315386
11.1351 0.318127
11.1426 0.321736
11.1500 0.326495
11.1574 0.332796
11.1649 0.341101
11.1686 0.346203
11.1723 0.352026
11.1761 0.358694
11.1798 0.366271
11.1835 0.374902
11.1872 0.384649
11.1910 0.395648
11.1947 0.408013
11.1984 0.421898
11.2021 0.437339
11.2058 0.454477
11.2096 0.473408
11.2133 0.494275
11.2170 0.517032
11.2207 0.541780
11.2245 0.568541
11.2291 0.604646
11.2337 0.643687
11.2383 0.685569
11.2429 0.730030
11.2476 0.776811
11.2522 0.825247
11.2614 0.925050
11.2707 1.02414
11.2753 1.07131
11.2799 1.11579
11.2856 1.16530
11.2912 1.20794
11.2969 1.24253
11.3025 1.26782
11.3071 1.28092
11.3116 1.28717
11.3137 1.28770
11.3183 1.28366
11.3229 1.27258
11.3280 1.25254
11.3330 1.22485
11.3385 1.18683
11.3440 1.14172
11.3478 1.10757
11.3515 1.07118
11.3590 0.993605
11.3740 0.831084
11.3815 0.752528
11.3852 0.715038
11.3890 0.679149
11.3940 0.633821
11.3990 0.591809
11.4040 0.553307
11.4090 0.518392
11.4140 0.487045
11.4190 0.459166
11.4240 0.434586
11.4290 0.413131
11.4340 0.394470
11.4390 0.378381
11.4440 0.364594
11.4490 0.352861
11.4540 0.342878
11.4590 0.334430
11.4640 0.327295
11.4690 0.321286
11.4750 0.315285
11.4810 0.310376
11.4870 0.306342
11.4929 0.303008
11.5049 0.297871
11.5169 0.294142
11.5339 0.290307
11.5509 0.287486
11.5849 0.283458
11.6189 0.280592
11.6529 0.278372
11.7209 0.275062
11.7888 0.272595
11.9248 0.268934
12.0607 0.266416
12.1967 0.264686
12.3326 0.263617
12.6045 0.263110
12.7644 0.263761
12.9244 0.264961
13.0843 0.266782
13.2442 0.269291
13.4042 0.272296
13.5641 0.275990
13.8840 0.285191
14.0439 0.290859
14.2038 0.297149
14.3638 0.304168
14.5237 0.312080
14.6836 0.320700
14.8436 0.330318
15.0035 0.340758
15.1634 0.352420
15.3393 0.366633
15.5153 0.382451
15.6912 0.400074
15.8671 0.419739
16.0431 0.441723
16.2190 0.466367
16.3949 0.494072
16.5708 0.525325
16.7228 0.555634
16.8747 0.589503
17.0267 0.627489
17.1026 0.648231
17.1786 0.670266
17.2546 0.693710
17.3305 0.718670
17.4065 0.745295
17.4825 0.773707
17.5584 0.804005
17.6344 0.836334
17.7104 0.871131
17.7863 0.908586
17.8743 0.955559
17.9623 1.00682
18.0502 1.06293
18.1382 1.12450
18.2262 1.19229
18.3141 1.26715
18.4021 1.35010
18.4900 1.44238
18.5700 1.53559
18.6500 1.63903
18.7299 1.75426
18.7699 1.81687
18.8099 1.88316
18.8499 1.95347
18.8899 2.02808
18.9299 2.10741
18.9698 2.19184
19.0098 2.28185
19.0498 2.37790
19.0898 2.48058
19.1298 2.59064
19.1678 2.70298
19.2057 2.82403
19.2437 2.95561
19.2817 3.10172
19.3007 3.18358
19.3197 3.27528
19.3387 3.38260
19.3482 3.44475
19.3577 3.51422
19.3672 3.59271
19.3767 3.68164
19.3862 3.78278
19.3957 3.89730
19.4052 4.02645
19.4147 4.17041
19.4242 4.32912
19.4336 4.50094
19.4476 4.77326
19.4616 5.05660
19.4756 5.33473
19.4896 5.58811
19.4981 5.72201
19.5066 5.83613
19.5136 5.91334
19.5150 5.92706
19.5207 5.97483
19.5249 6.00338
19.5291 6.02575
19.5359 6.04853
19.5426 6.05634
19.5512 6.04611
19.5598 6.01598
19.5770 5.91165
19.5942 5.77847
19.6087 5.66939
19.6232 5.58085
19.6377 5.52341
19.6522 5.50197
19.6667 5.51649
19.6812 5.56367
19.6956 5.63859
19.7101 5.73601
19.7246 5.85134
19.7391 5.98073
19.7681 6.27226
19.7971 6.59921
19.8261 6.95861
19.8478 7.25026
19.8696 7.56213
19.8913 7.89583
19.9130 8.25322
19.9348 8.63648
19.9565 9.04805
19.9783 9.49072
20.0000 9.96766
20.0209 10.4616
20.0418 10.9939
20.0627 11.5692
20.0835 12.1918
20.1044 12.8677
20.1149 13.2274
20.1253 13.6027
20.1358 13.9950
20.1462 14.4047
20.1566 14.8330
20.1671 15.2813
20.1738 15.5796
20.1805 15.8865
20.1871 16.2028
20.1938 16.5288
20.2005 16.8656
20.2072 17.2125
20.2139 17.5705
20.2205 17.9400
20.2251 18.2015
20.2297 18.4683
20.2343 18.7417
20.2389 19.0208
20.2435 19.3070
20.2481 19.5991
20.2527 19.8988
20.2573 20.2050
20.2619 20.5191
20.2665 20.8401
20.2711 21.1695
20.2757 21.5063
20.2811 21.9156
20.2865 22.3369
20.2920 22.7707
20.2974 23.2177
20.3005 23.4824
20.3037 23.7509
20.3068 24.0241
20.3099 24.3022
20.3131 24.5862
20.3162 24.8744
20.3193 25.1679
20.3225 25.4667
20.3271 25.9158
20.3317 26.3763
20.3362 26.8495
20.3408 27.3360
20.3454 27.8372
20.3500 28.3517
20.3546 28.8821
20.3592 29.4268
20.3638 29.9888
20.3684 30.5662
20.3730 31.1623
20.3776 31.7753
20.3822 32.4085
20.3868 33.0600
20.3914 33.7335
20.3960 34.4270
20.4006 35.1444
20.4052 35.8836
20.4098 36.6473
20.4143 37.4365
20.4189 38.2542
20.4235 39.0982
20.4281 39.9735
20.4327 40.8777
20.4373 41.8162
20.4419 42.7867
20.4465 43.7951
20.4511 44.8389
20.4557 45.9245
20.4603 47.0494
20.4649 48.2209
20.4695 49.4361
20.4741 50.7031
20.4787 52.0193
20.4833 53.3933
20.4879 54.8226
20.4920 56.1778
20.4962 57.5872
20.5004 59.0539
20.5046 60.5775
20.5088 62.1692
20.5129 63.8253
20.5171 65.5582
20.5213 67.3643
20.5255 69.2577
20.5296 71.2399
20.5338 73.3173
20.5380 75.4917
20.5422 77.7814
20.5463 80.1841
20.5505 82.7211
20.5547 85.3911
20.5576 87.3569
20.5605 89.3948
20.5635 91.5238
20.5664 93.7350
20.5693 96.0495
20.5722 98.4580
20.5752 100.975
20.5781 103.609
20.5810 106.378
20.5839 109.272
20.5869 112.321
20.5898 115.516
20.5927 118.891
20.5956 122.436
20.5985 126.176
20.6015 130.129
20.6038 133.403
20.6061 136.828
20.6084 140.416
20.6107 144.158
20.6130 148.100
20.6153 152.238
20.6176 156.586
20.6198 161.135
20.6221 165.942
20.6244 171.004
20.6267 176.336
20.6290 181.933
20.6313 187.863
20.6336 194.095
20.6359 200.705
20.6382 207.659
20.6405 215.043
20.6428 222.855
20.6451 231.121
20.6474 239.872
20.6497 249.140
20.6520 258.958
20.6543 269.361
20.6566 280.336
20.6589 292.018
20.6612 304.402
20.6635 317.531
20.6658 331.386
20.6681 346.136
20.6704 361.772
20.6727 378.343
20.6750 395.824
20.6773 414.423
20.6796 434.123
20.6819 454.982
20.6842 476.963
20.6865 500.319
20.6888 525.022
20.6911 551.137
20.6934 578.607
20.6957 607.742
20.6980 638.492
20.7003 670.929
20.7026 704.970
20.7049 740.984
20.7071 778.729
20.7094 818.604
20.7117 860.334
20.7140 904.351
20.7163 950.547
20.7186 998.989
20.7209 1049.52
20.7232 1102.63
20.7255 1158.18
20.7278 1216.22
20.7301 1276.54
20.7324 1339.70
20.7347 1405.50
20.7370 1473.97
20.7393 1544.84
20.7439 1695.06
20.7485 1856.28
20.7522 1996.57
20.7560 2144.18
20.7598 2298.99
20.7635 2460.78
20.7673 2629.27
20.7710 2804.10
20.7748 2984.82
20.7786 3170.90
20.7832 3404.91
20.7878 3644.19
20.7969 4133.89
20.8061 4627.20
20.8153 5107.51
20.8241 5538.15
20.8285 5738.14
20.8329 5924.94
